date;project;readthroughput;writethroughput
2024-01-08T14:13:03+00:00;Strato 4v 8GB;489702;527751
2024-01-08T14:14:20+00:00;Strato 4v 8GB;484960;520918
2024-01-08T14:15:37+00:00;Strato 4v 8GB;484764;521939
2024-01-08T14:16:55+00:00;Strato 4v 8GB;484526;521890
2024-01-08T14:18:12+00:00;Strato 4v 8GB;484344;521371
2024-01-08T14:19:29+00:00;Strato 4v 8GB;483925;521906
2024-01-08T14:20:46+00:00;Strato 4v 8GB;484540;521825
2024-01-08T14:22:04+00:00;Strato 4v 8GB;484232;522020
2024-01-08T14:23:21+00:00;Strato 4v 8GB;483089;521015
2024-01-08T14:24:38+00:00;Strato 4v 8GB;485058;520465
