date;project;uploadBitsPerSec;downloadBitsPerSec
2024-01-08T16:48:00+01:00;GWDG 4v 8GB;2305255513.005414;2121278200.981748
2024-01-08T16:48:31+01:00;GWDG 4v 8GB;446283806.083476;2133739883.8913448
2024-01-08T16:49:01+01:00;GWDG 4v 8GB;296503346.49746;2113929581.3265808
2024-01-08T16:49:32+01:00;GWDG 4v 8GB;222151620.38993037;2137905316.06209
2024-01-08T16:50:12+01:00;GWDG 4v 8GB;2308460614.9332356;2107812550.5076106
2024-01-08T16:50:42+01:00;GWDG 4v 8GB;2306355865.953072;2102393477.5664492
2024-01-08T16:51:23+01:00;GWDG 4v 8GB;2180521865.216042;2135579659.7672353
2024-01-08T16:51:53+01:00;GWDG 4v 8GB;2185981132.1207523;2132863534.18133
2024-01-08T16:52:24+01:00;GWDG 4v 8GB;151987584.17382157;2117051213.0844676
2024-01-08T16:53:04+01:00;GWDG 4v 8GB;2097928494.7367191;2110705635.5029244
