date;project;ops;mibs
2024-01-08T11:20:16+00:00;Strato 4v 8GB;3569741.04;3486.08
2024-01-08T11:20:36+00:00;Strato 4v 8GB;2821236.34;2755.11
2024-01-08T11:20:56+00:00;Strato 4v 8GB;3088320.65;3015.94
2024-01-08T11:21:16+00:00;Strato 4v 8GB;2805974.97;2740.21
2024-01-08T11:21:36+00:00;Strato 4v 8GB;2485754.04;2427.49
2024-01-08T11:21:56+00:00;Strato 4v 8GB;2643813.99;2581.85
2024-01-08T11:22:16+00:00;Strato 4v 8GB;3449066.35;3368.23
2024-01-08T11:22:36+00:00;Strato 4v 8GB;3580209.58;3496.30
2024-01-08T11:22:56+00:00;Strato 4v 8GB;2789987.58;2724.60
2024-01-08T11:23:16+00:00;Strato 4v 8GB;4292664.78;4192.06
